"","E.ferrisi.M.m.dom","E.falciformis.M.m.dom","E.ferrisi.M.m.mus","E.falciformis.M.m.mus"
"E.ferrisi.M.m.dom","","est:0.94,
Std.Error:0.26","est:0.72,
Std.Error:0.2","est:0.29,
Std.Error:0.35"
"E.falciformis.M.m.dom","z value:3.6,
Pr(>|z|):< 0.01","","est:-0.21,
Std.Error:0.26","est:-0.65,
Std.Error:0.39"
"E.ferrisi.M.m.mus","z value:3.57,
Pr(>|z|):< 0.01","z value:-0.82,
Pr(>|z|):0.84","","est:-0.43,
Std.Error:0.36"
"E.falciformis.M.m.mus","z value:0.81,
Pr(>|z|):0.84","z value:-1.65,
Pr(>|z|):0.34","z value:-1.21,
Pr(>|z|):0.61",""
