"","E.ferrisi.M.m.dom","E.falciformis.M.m.dom","E.ferrisi.M.m.mus","E.falciformis.M.m.mus"
"E.ferrisi.M.m.dom","","est:0.99, Std.Error:0.25","est:0.78, Std.Error:0.2","est:0.04, Std.Error:0.35"
"E.falciformis.M.m.dom","z value:3.88, Pr(>|z|):< 0.001","","est:-0.2, Std.Error:0.26","est:-0.95, Std.Error:0.38"
"E.ferrisi.M.m.mus","z value:3.96, Pr(>|z|):< 0.001","z value:-0.79, Pr(>|z|):0.85","","est:-0.74, Std.Error:0.35"
"E.falciformis.M.m.mus","z value:0.12, Pr(>|z|):1","z value:-2.46, Pr(>|z|):0.06","z value:-2.12, Pr(>|z|):0.14",""
