"","E.ferrisi.M.m.dom","E.falciformis.M.m.dom","E.ferrisi.M.m.mus","E.falciformis.M.m.mus"
"E.ferrisi.M.m.dom","","est:0.02, Std.Error:0.02","est:0, Std.Error:0.02","est:-0.09, Std.Error:0.03"
"E.falciformis.M.m.dom","z value:0.98, Pr(>|z|):0.75","","est:-0.02, Std.Error:0.02","est:-0.11, Std.Error:0.03"
"E.ferrisi.M.m.mus","z value:-0.23, Pr(>|z|):1","z value:-1.14, Pr(>|z|):0.66","","est:-0.08, Std.Error:0.03"
"E.falciformis.M.m.mus","z value:-3.23, Pr(>|z|):< 0.01","z value:-3.56, Pr(>|z|):< 0.01","z value:-3.08, Pr(>|z|):0.01",""
