"","FALSE","TRUE"
"SCHUNT",6,0
"STRA",7,0
"SCHUNT-STRA",8,0
"STRA-BUSNA",8,0
"SCHUNT-PWD",6,0
"PWD-BUSNA",4,3
"BUSNA",3,4
"PWD",1,6
