"","E.ferrisi.M.m.dom","E.falciformis.M.m.dom","E.ferrisi.M.m.mus","E.falciformis.M.m.mus"
"E.ferrisi.M.m.dom","","est:0.95, Std.Error:0.23","est:0.6, Std.Error:0.16","est:0.14, Std.Error:0.32"
"E.falciformis.M.m.dom","z value:4.04, Pr(>|z|):< 0.001","","est:-0.35, Std.Error:0.24","est:-0.81, Std.Error:0.36"
"E.ferrisi.M.m.mus","z value:3.62, Pr(>|z|):< 0.01","z value:-1.48, Pr(>|z|):0.43","","est:-0.46, Std.Error:0.32"
"E.falciformis.M.m.mus","z value:0.42, Pr(>|z|):0.97","z value:-2.23, Pr(>|z|):0.11","z value:-1.43, Pr(>|z|):0.47",""
