"","E.ferrisi.M.m.dom","E.falciformis.M.m.dom","E.ferrisi.M.m.mus","E.falciformis.M.m.mus"
"E.ferrisi.M.m.dom","","est:0.02,
Std.Error:0.02","est:-0.01,
Std.Error:0.01","est:-0.11,
Std.Error:0.03"
"E.falciformis.M.m.dom","z value:1.02,
Pr(>|z|):0.72","","est:-0.03,
Std.Error:0.02","est:-0.13,
Std.Error:0.03"
"E.ferrisi.M.m.mus","z value:-0.76,
Pr(>|z|):0.87","z value:-1.55,
Pr(>|z|):0.4","","est:-0.1,
Std.Error:0.03"
"E.falciformis.M.m.mus","z value:-4.19,
Pr(>|z|):< 0.001","z value:-4.37,
Pr(>|z|):< 0.001","z value:-3.79,
Pr(>|z|):< 0.01",""
